Index,YearMonth,Close_last,Stock_monthly_pct,GPRD_mean,GPRD_ACT_mean,GPRD_THREAT_mean,GPRD_monthly_pct,GPRD_ACT_monthly_pct,GPRD_THREAT_monthly_pct,gpr_lag1,stock_lag1,gpr_lag2,stock_lag2,gpr_lag3,stock_lag3,stock_vol6,gprd_zscore,gpr_spike,stock_down,gpr_up_next,cluster
N225,2017-06,20033.42969,1.9483372439585975,126.94453862508138,146.7019323984782,113.13888193766276,25.21966237763813,48.393236580177735,12.140765708843391,-11.924009642381684,2.364099709443224,16.858108837707487,1.5203157791300326,-12.981087348955,-1.0969745654815344,1.3735578538929183,0.4935628504053606,0,0,0,2
N225,2017-07,19925.17969,-0.5403468186679694,101.5980480563256,69.98286450293756,124.43094007430538,-19.96658607237466,-43.81668896391011,9.9807050796775,25.21966237763813,1.9483372439585975,-11.924009642381684,2.364099709443224,16.858108837707487,1.5203157791300326,1.4018810101534822,-0.0124661518873564,0,1,1,2
N225,2017-08,19646.24023,-1.3999344765758592,137.11038946336316,109.75087941077447,156.3583743187689,34.9537634693037,56.82536030826179,25.65875836459781,-19.96658607237466,-0.5403468186679694,25.21966237763813,1.9483372439585975,-11.924009642381684,2.364099709443224,1.6642729832817806,0.6965185749147532,0,1,0,2
N225,2017-09,20356.2793,3.614121896543665,118.73107655843098,86.45641419092814,146.35588200887045,-13.40475581527194,-21.22485518558812,-6.397158037411099,34.9537634693037,-1.3999344765758592,-19.96658607237466,-0.5403468186679694,25.21966237763813,1.9483372439585975,1.877153336675692,0.3295855138316133,0,0,0,2
N225,2017-10,22011.60938,8.131790960443364,91.91498454924552,71.24007597277242,109.52413552807224,-22.585571348701183,-17.60001078063723,-25.16588057497128,-13.40475581527194,3.614121896543665,34.9537634693037,-1.3999344765758592,-19.96658607237466,-0.5403468186679694,3.394251067611419,-0.2057832879355632,0,0,1,2
N225,2017-11,22724.96094,3.2407969253177797,93.25364055633544,80.09026870727538,105.41860446929932,1.45640671502556,12.423053476087633,-3.748517200321233,-22.585571348701183,8.131790960443364,-13.40475581527194,3.614121896543665,34.9537634693037,-1.3999344765758592,3.413638587682092,-0.1790577433540232,0,0,0,2
N225,2017-12,22764.93945,0.1759233386827485,84.61367348701724,64.52695954230524,98.77827345940376,-9.265018521286285,-19.432209950316203,-6.29901244028458,1.45640671502556,3.2407969253177797,-22.585571348701183,8.131790960443364,-13.40475581527194,3.614121896543665,3.5449957676192825,-0.3515500220807048,0,0,1,2
N225,2018-01,23098.28906,1.464311428247611,91.99991103141538,75.9898567199707,106.7695834867416,8.729366354164325,17.76450844572981,8.09014953133611,-9.265018521286285,0.1759233386827485,1.45640671502556,3.2407969253177797,-22.585571348701183,8.131790960443364,3.322107772036457,-0.2040877765619447,0,0,0,2
N225,2018-02,22068.24023,-4.459416138244487,65.82219927651542,53.66386883599417,76.22563787869045,-28.45406203269154,-29.380221055357104,-28.60734734611382,8.729366354164325,1.464311428247611,-9.265018521286285,0.1759233386827485,1.45640671502556,3.2407969253177797,4.173186408981876,-0.7267116611468718,0,1,1,2
N225,2018-03,21454.30078,-2.782004562218765,109.2456529678837,64.72115756619361,142.5100219480453,65.97083380479091,20.60471779251023,86.95812316433921,-28.45406203269154,-4.459416138244487,8.729366354164325,1.464311428247611,-9.265018521286285,0.1759233386827485,4.491734056642975,0.1402141520319168,1,1,1,2
N225,2018-04,22467.86914,4.724313182673656,122.0270450592041,94.80569979349772,144.06638272603354,11.699680256456425,46.483319147274415,1.092106194858089,65.97083380479091,-2.782004562218765,-28.45406203269154,-4.459416138244487,8.729366354164325,1.464311428247611,3.512595683164609,0.3953877458017615,0,0,1,2
N225,2018-05,22201.82031,-1.1841302276696442,122.07622054315382,62.3412499273977,166.9032696139428,0.0402988402496085,-34.24314143222706,15.851641761102208,11.699680256456425,4.724313182673656,65.97083380479091,-2.782004562218765,-28.45406203269154,-4.459416138244487,3.250059770405639,0.3963695077941304,0,1,0,2
N225,2018-06,22304.50977,0.46252720977904,103.35734113057454,56.24654754002889,136.8462231318156,-15.333763880707776,-9.776355774814691,-18.008662473569824,0.0402988402496085,-1.1841302276696442,11.699680256456425,4.724313182673656,65.97083380479091,-2.782004562218765,3.261307461808726,0.0226571846821675,0,0,1,2
