id,year,date_start,date_end,type_of_violence,number_of_sources,where_prec,event_clarity,date_prec,latitude,longitude,region,region_enc,country_id,deaths_a,deaths_b,deaths_civilians,deaths_unknown,best,high,low,total_deaths,lethality_ratio,conflict_duration_days,active_year,pre_return,pre_volatility,event_return,post_return,post_volatility,market_reaction,volatility_change,n_indices_tracked,market_direction_5d,severity_class
387721,2020,2020-01-01,2020-11-22,2,1,1,2,5,18.34928,-99.53936,Americas,1,70,0,0,0,94,94,94,0,94,94.0,326,True,0.0008647836582784,0.0056827893934811,0.0011546088260279,0.0005231134379432,0.0087761621747679,-0.0003416702203352,0.0030933727812868,14,1,2
122071,2003,2003-03-28,2003-03-28,1,-1,1,1,1,33.340582,44.400876,Middle East,4,645,0,0,62,0,62,62,55,62,-62.0,0,True,0.0046037435904498,0.0210862081087928,-0.0033238941067046,0.0033280652633824,0.019446893519435,-0.0012756783270674,-0.0016393145893578,12,1,2
359944,2015,2015-08-24,2015-08-24,1,1,1,1,1,33.46,36.19,Middle East,4,652,0,0,0,0,0,2,0,0,0.0,0,True,-0.0070849407336088,0.0165129718676717,-0.047645469836914,0.0080075832166285,0.025061235149603,0.0150925239502374,0.0085482632819312,14,1,0
150944,2014,2014-07-07,2014-07-07,1,1,1,1,1,34.151794,69.070099,Asia,2,700,4,0,0,0,4,4,4,4,4.0,0,True,0.0013113216668469,0.0057253168878497,-0.0037022168223234,-0.001561306352188,0.0075888957733218,-0.002872628019035,0.001863578885472,14,0,1
396206,2021,2021-04-20,2021-04-20,1,1,1,1,1,34.334436,45.213228,Middle East,4,645,1,0,0,0,1,1,1,1,1.0,0,True,0.0010919404825218,0.0081116351059242,-0.0076831787947123,0.0019544705552369,0.0079779519584654,0.0008625300727151,-0.0001336831474588,14,1,0
93085,2005,2005-09-30,2005-09-30,1,1,2,1,1,34.69238,74.35925,Asia,2,750,4,2,0,0,6,6,6,6,6.0,0,True,0.0005643359326744,0.0096689495035629,0.0026645034207692,-0.003175881983454,0.0090332594647698,-0.0037402179161284,-0.000635690038793,12,0,2
262331,2018,2018-08-16,2018-08-16,1,1,2,1,1,-10.897291,40.059404,Africa,0,541,0,4,0,0,4,4,4,4,4.0,0,True,-0.0024176710021263,0.01049060413795,0.0011517530293496,0.0024439636146391,0.0058361554047325,0.0048616346167654,-0.0046544487332175,14,1,1
187281,2011,2011-09-23,2011-09-23,3,1,1,1,1,34.894975,36.776743,Middle East,4,652,0,0,1,0,1,1,1,1,1.0,0,True,-0.0046257591322826,0.0199226306777437,-0.009105216033738,0.0022501267974489,0.0207387791216697,0.0068758859297315,0.0008161484439259,13,1,0
98785,2007,2007-02-06,2007-02-06,3,-1,4,1,1,6.203358,101.720053,Asia,2,800,0,0,1,0,1,1,1,1,-1.0,0,True,-0.0007928551325421,0.0139608557036764,0.0059253031601434,0.002068313304323,0.0104306341721229,0.0028611684368651,-0.0035302215315534,12,1,0
170076,2011,2011-05-30,2011-05-30,1,-1,4,1,1,32.416667,68.75,Asia,2,700,2,0,0,0,2,2,2,2,-2.0,0,True,-0.0016406385663197,0.0095176793165405,-0.0005232838565887,-0.0015634028750915,0.0119936374791261,7.723569122814584e-05,0.0024759581625855,13,0,1
109470,2011,2011-11-20,2011-11-20,1,-1,2,1,1,33.746595,44.643663,Middle East,4,645,1,0,0,0,1,1,0,1,-1.0,0,True,-0.0044591681316545,0.0145405692430013,,-0.0066549953959076,0.013246317697119,-0.002195827264253,-0.0012942515458822,13,0,0
3201,1994,1994-04-13,1994-04-13,1,-1,1,1,1,33.483333,6.8,Africa,0,615,0,4,0,0,4,4,4,4,-4.0,0,True,-0.0003277196171296,0.0121517431957823,-0.001364650605511,-0.0048605597139173,0.0074621310680802,-0.0045328400967877,-0.0046896121277021,7,0,1
101198,2002,2002-11-22,2002-11-22,1,-1,3,1,1,27.25,86.83333,Asia,2,790,0,1,0,0,1,1,1,1,-1.0,0,True,0.0002459488039628,0.0161490974009863,0.0051348953337528,0.0028036543767872,0.015660719169485,0.0025577055728244,-0.0004883782315012,12,1,0
248039,2017,2017-01-01,2017-08-28,2,1,4,2,5,36.25,37.616667,Middle East,4,652,0,0,0,0,0,5,0,0,0.0,239,True,-0.0001978707128784,0.0053183959492428,,0.0028885110546351,0.0059642526266557,0.0030863817675135,0.0006458566774129,14,1,0
384222,2013,2013-12-25,2013-12-25,1,1,1,1,1,33.604037,36.515455,Middle East,4,652,0,0,4,0,4,4,4,4,4.0,0,True,-9.440869028207416e-05,0.0087508060174438,0.004930285634449,0.0004150675458258,0.0090209973067123,0.0005094762361078,0.0002701912892684,14,1,1
408162,2002,2002-01-17,2002-01-17,2,1,3,1,1,7.0,-76.25,Americas,1,100,20,0,0,0,20,20,20,20,20.0,0,True,-0.0038544026756493,0.0147780305308496,0.000769499418891,0.002662278355718,0.0183951659427125,0.0065166810313674,0.0036171354118629,12,1,2
375488,1992,1992-08-28,1992-08-28,1,2,1,1,1,44.872778,18.808333,Europe,3,346,1,8,1,0,10,10,10,10,5.0,0,True,0.000757820840651,0.0174349468265286,0.00948143431217,0.00322153276423,0.01001059743238,0.002463711923579,-0.0074243493941486,7,1,2
452105,1994,1994-04-07,1994-04-07,3,1,1,1,1,-2.183,29.3819,Africa,0,517,0,0,11,0,11,11,11,11,11.0,0,True,-0.0028976858371727,0.0124248724744899,0.0075105026867838,-0.0010331797436803,0.0095360679319266,0.0018645060934923,-0.0028888045425632,7,0,2
288891,2012,2012-06-23,2012-06-23,1,1,3,1,1,34.54081,36.55528,Middle East,4,652,0,0,1,0,1,1,1,1,1.0,0,True,0.001354620923535,0.0102522702520762,,0.0024409726160824,0.0135033252970228,0.0010863516925473,0.0032510550449465,14,1,0
294976,2019,2019-07-13,2019-07-13,1,1,3,1,1,32.378207,66.335951,Asia,2,700,2,0,0,0,2,2,2,2,2.0,0,True,7.488213608283461e-05,0.008081204860626,,7.997350314433398e-05,0.0068704335604898,5.091367061499369e-06,-0.0012107713001362,14,1,1
369000,2013,2013-09-11,2013-09-11,2,1,3,1,1,36.548912,36.792947,Middle East,4,652,0,0,0,0,0,1,0,0,0.0,0,True,0.0037777322603943,0.0112116095830804,0.0014152086767751,0.0009107991753626,0.0070269352470565,-0.0028669330850316,-0.0041846743360238,14,1,0
408099,2014,2014-09-01,2014-09-01,1,1,1,1,1,36.201241,37.161173,Middle East,4,652,0,0,0,0,0,1,0,0,0.0,0,True,0.0015364121788935,0.0061838598097445,0.0051360333488079,0.0022208893227224,0.006173920154344,0.0006844771438289,-9.9396554005364e-06,14,1,0
