min_samples,eps_percentile,eps,n_clusters,noise_share_pct,largest_cluster_share_pct,conflict_variable,anomaly_rate_non_conflict,anomaly_rate_conflict,difference_conflict_minus_non_conflict,corrected_odds_ratio,p_value_chi2,p_value_fisher,test_valid
20,97,1.2724245318022385,1,1.5929235687300203,98.40707643126999,is_high_intensity_conflict_day,0.015895953757225433,0.01629955947136564,0.00040360571414020663,1.0289039881275768,0.8022104630377295,0.7593664471215785,True
20,97,1.2724245318022385,1,1.5929235687300203,98.40707643126999,is_conflict_window_3d,0.004927385892116182,0.018264488286066586,0.013337102393950404,3.7386188763084567,5.856402642591044e-41,1.9112000987065598e-52,True
20,97,1.2724245318022385,1,1.5929235687300203,98.40707643126999,is_high_intensity_conflict_window_3d,0.016447406956175394,0.01414198553476908,-0.002305421421406313,0.8587271530952402,0.011677876809445946,0.010281276398782348,True
30,80,0.6027163865998965,1,12.437336530078465,87.56266346992153,is_conflict_day,0.01692634194316476,0.1472360203980483,0.13030967845488356,10.013121650898984,0.0,0.0,True
30,80,0.6027163865998965,1,12.437336530078465,87.56266346992153,is_high_intensity_conflict_day,0.12383205321086388,0.1303964757709251,0.006564422560061234,1.0613040207403541,0.07201312325345958,0.07039407189061597,True
30,80,0.6027163865998965,1,12.437336530078465,87.56266346992153,is_conflict_window_3d,0.016649377593360996,0.14723885855205213,0.13058948095869113,10.182498979461544,0.0,0.0,True
30,80,0.6027163865998965,1,12.437336530078465,87.56266346992153,is_high_intensity_conflict_window_3d,0.12665909117533358,0.11648955513354074,-0.01016953604179284,0.9092241170772353,2.0667757935701093e-05,1.80062435328171e-05,True
30,85,0.6891027360476654,1,9.107090961929671,90.89290903807033,is_conflict_day,0.01413116620943113,0.10744220369411739,0.09331103748468626,8.383318956247114,0.0,0.0,True
30,85,0.6891027360476654,1,9.107090961929671,90.89290903807033,is_high_intensity_conflict_day,0.0905455697204846,0.09691629955947137,0.0063707298389867745,1.0784037548688414,0.04527743506746411,0.045561053873170464,True
30,85,0.6891027360476654,1,9.107090961929671,90.89290903807033,is_conflict_window_3d,0.013848547717842323,0.10746212788444601,0.09361358016660368,8.558282791911905,0.0,0.0,True
30,85,0.6891027360476654,1,9.107090961929671,90.89290903807033,is_high_intensity_conflict_window_3d,0.09302625259187236,0.08432663946018021,-0.008699613131692152,0.8980144346349004,2.969551451907928e-05,2.4862681774759397e-05,True
30,90,0.827351981394566,1,5.731437082243533,94.26856291775647,is_conflict_day,0.010714840312645583,0.06722985252167017,0.05651501220902459,6.639263825325922,1.4467652999971987e-206,7.722278199703854e-286,True
30,90,0.827351981394566,1,5.731437082243533,94.26856291775647,is_high_intensity_conflict_day,0.05713041412621744,0.05936123348017621,0.002230819353958774,1.0423323550087797,0.3939734899873939,0.38318285649730804,True
30,90,0.827351981394566,1,5.731437082243533,94.26856291775647,is_conflict_window_3d,0.010425311203319501,0.0672670424519993,0.0568417312486798,6.829201464685431,1.310309304213195e-208,1.1421988241290852e-289,True
30,90,0.827351981394566,1,5.731437082243533,94.26856291775647,is_high_intensity_conflict_window_3d,0.0591825498166653,0.05087074225221221,-0.008311807564453086,0.8522702446137148,7.9104081683051e-07,5.660909873602164e-07,True
30,92,0.9155142801236644,1,4.41277971519907,95.58722028480094,is_conflict_day,0.009265489932191107,0.05154582401727005,0.04228033408507895,5.7957525383557655,1.284564471795269e-148,8.025637456871742e-203,True
30,92,0.9155142801236644,1,4.41277971519907,95.58722028480094,is_high_intensity_conflict_day,0.04377820888431388,0.04801762114537445,0.004239412261060574,1.1028035925912,0.06324986112683724,0.06184437639854641,True
30,92,0.9155142801236644,1,4.41277971519907,95.58722028480094,is_conflict_window_3d,0.008973029045643153,0.051589748106394225,0.04261671906075107,5.991221458399287,1.0052832298670946e-150,1.4316078136026866e-206,True
30,92,0.9155142801236644,1,4.41277971519907,95.58722028480094,is_high_intensity_conflict_window_3d,0.04544123332122817,0.03959755949735343,-0.00584367382387474,0.866416671841011,8.72340674083502e-05,7.088664856098016e-05,True
30,95,1.116887434731291,1,2.6918047079337404,97.30819529206626,is_conflict_day,0.0068326517935710955,0.031191831969424957,0.02435918017585386,4.663154516893593,2.9202266083403186e-80,1.3659060305816131e-106,True
30,95,1.116887434731291,1,2.6918047079337404,97.30819529206626,is_high_intensity_conflict_day,0.026833082587694988,0.027863436123348018,0.00103035353565303,1.0413078064714139,0.584210368152193,0.5649375720049158,True
30,95,1.116887434731291,1,2.6918047079337404,97.30819529206626,is_conflict_window_3d,0.0066908713692946055,0.031211467324291,0.024520595954996394,4.7653230101197375,3.536419890440921e-81,4.500261009473422e-108,True
30,95,1.116887434731291,1,2.6918047079337404,97.30819529206626,is_high_intensity_conflict_window_3d,0.027880932019727515,0.023596913006586125,-0.004284019013141391,0.8431644600047202,0.0002682325885622318,0.0002124219388623868,True
30,97,1.3877812814074126,1,1.4803109561174077,98.5196890438826,is_conflict_day,0.004865676277240023,0.016917603780027095,0.012051927502787073,3.5021414322481457,3.3806533328696444e-36,8.858340825521386e-46,True
30,97,1.3877812814074126,1,1.4803109561174077,98.5196890438826,is_high_intensity_conflict_day,0.014737904822234539,0.01552863436123348,0.0007907295389989414,1.0578293444419868,0.5807517314841816,0.555232474235803,True
30,97,1.3877812814074126,1,1.4803109561174077,98.5196890438826,is_conflict_window_3d,0.004771784232365146,0.016932358640126828,0.012160574407761682,3.5741443171721636,9.09784316550453e-37,1.0415500267752178e-46,True
30,97,1.3877812814074126,1,1.4803109561174077,98.5196890438826,is_high_intensity_conflict_window_3d,0.015311083256211708,0.013051032364944037,-0.0022600508912676703,0.8514176470176128,0.010396426650152356,0.009287133583474142,True
50,80,0.6674566750061307,1,11.73259953501889,88.26740046498111,is_conflict_day,0.01692634194316476,0.1386891059883471,0.12176276404518235,9.338297526847969,0.0,0.0,True
50,80,0.6674566750061307,1,11.73259953501889,88.26740046498111,is_high_intensity_conflict_day,0.11679467891361153,0.12323788546255507,0.006443206548943536,1.0632902948954406,0.07022013842175309,0.06854398949148857,True
50,80,0.6674566750061307,1,11.73259953501889,88.26740046498111,is_conflict_window_3d,0.016649377593360996,0.13869561388057072,0.12204623628720973,9.496562518751322,0.0,0.0,True
50,80,0.6674566750061307,1,11.73259953501889,88.26740046498111,is_high_intensity_conflict_window_3d,0.11957171139720957,0.10958018505798214,-0.009991526339227425,0.9062636898091211,1.791555264062254e-05,1.5665599003229945e-05,True
50,85,0.7630199305626529,1,8.555834059866317,91.44416594013369,is_conflict_day,0.013768828614317512,0.10083376471754431,0.0870649361032268,8.0179732204073,0.0,0.0,True
50,85,0.7630199305626529,1,8.555834059866317,91.44416594013369,is_high_intensity_conflict_day,0.08512154564890331,0.09041850220264318,0.005296956553739865,1.068943644597887,0.08746439151069643,0.0848092435883854,True
50,85,0.7630199305626529,1,8.555834059866317,91.44416594013369,is_conflict_window_3d,0.013485477178423237,0.10085652633433151,0.08737104915590826,8.190496998632332,0.0,0.0,True
50,85,0.7630199305626529,1,8.555834059866317,91.44416594013369,is_high_intensity_conflict_window_3d,0.0874852102198845,0.07891227928401147,-0.008572930935873024,0.893766815309155,2.311346683730685e-05,1.9348378995127303e-05,True
50,90,0.9168657970016956,1,5.335476605637896,94.6645233943621,is_conflict_day,0.010559552771882603,0.0624607623935766,0.05190120962169399,6.227961457244022,1.5113635331485807e-186,2.838285933492609e-256,True
50,90,0.9168657970016956,1,5.335476605637896,94.6645233943621,is_high_intensity_conflict_day,0.05310198748911236,0.05616740088105727,0.00306541339194491,1.0620471870971497,0.22223375800048398,0.21380661307961557,True
50,90,0.9168657970016956,1,5.335476605637896,94.6645233943621,is_conflict_window_3d,0.010269709543568465,0.0625,0.05223029045643154,6.409426911949359,1.3447109639994952e-188,3.555573514275278e-260,True
50,90,0.9168657970016956,1,5.335476605637896,94.6645233943621,is_high_intensity_conflict_window_3d,0.055012124691025385,0.047638288415693564,-0.0073738362753318215,0.8595149223011486,5.935219210277624e-06,4.665082477687327e-06,True
50,92,1.011727349922441,1,4.148503342051729,95.85149665794827,is_conflict_day,0.009110202391428127,0.04837377330851497,0.03926357091708685,5.514004558630593,4.1235877910989826e-136,1.5578498428239828e-184,True
50,92,1.011727349922441,1,4.148503342051729,95.85149665794827,is_high_intensity_conflict_day,0.04110578826510412,0.045704845814977975,0.0045990575498738515,1.1183946359643089,0.03774082801906462,0.03679162736410446,True
50,92,1.011727349922441,1,4.148503342051729,95.85149665794827,is_conflict_window_3d,0.008869294605809128,0.04840805002642241,0.039538755420613275,5.668901344441051,8.789227718825014e-138,1.3828034248398886e-187,True
