Index,Date,Open,High,Low,Close,Adj Close,Volume,price_for_return,return_1d,abs_return_1d,volatility_20,return_z_20,intraday_range,open_close_return,volume_z_20,conflict_count,total_deaths_sum,total_deaths_max,total_deaths_mean,log_deaths_sum,death_uncertainty_sum,conflict_duration_mean,is_conflict_day,is_high_intensity_conflict_day,is_conflict_window_3d,is_high_intensity_conflict_window_3d,dbscan_cluster,is_market_anomaly
399001.SZ,2015-07-17,12460.50977,13097.4502,12435.59961,13004.95996,13004.81445,1755000.0,13004.81445,0.052384726161071704,0.052384726161071704,0.046092256603775646,1.3862802772841458,0.05089216668376425,0.04369405426018935,-0.38757375557557827,43.0,293.0,101.0,6.813953488372093,58.39170365162971,49.0,0.13953488372093023,1,0,1,0,-1,1
399001.SZ,2015-07-20,13115.48047,13427.86035,12942.9502,13202.40039,13202.25293,2002100.0,13202.25293,0.015181952865156001,0.015181952865156001,0.044962692676450554,0.5097368630528166,0.0367289383502784,0.006627276842721742,0.28087980616744934,150.0,597.0,107.0,3.98,176.03770130937878,96.0,0.10666666666666667,1,0,1,0,-1,1
399001.SZ,2015-07-21,13038.15039,13436.91016,12928.12988,13315.55957,13315.41016,1678100.0,13315.41016,0.008571054546521184,0.008571054546521184,0.044650403815446715,0.378469197644724,0.03820945543635152,0.021276728040563637,-0.614589986726273,41.0,156.0,25.0,3.8048780487804876,47.2679275559339,35.0,0.17073170731707318,1,0,1,0,-1,1
399001.SZ,2015-07-22,13307.92969,13482.04004,13098.80957,13416.54004,13416.38965,1815600.0,13416.38965,0.007583655988558702,0.007583655988558702,0.04443052971309357,0.3682621831335901,0.028564031326812962,0.00816132580574214,-0.19216670688465037,56.0,370.0,60.0,6.607142857142857,81.96609948976037,43.0,0.10714285714285714,1,0,1,0,-1,1
399001.SZ,2015-07-23,13432.61035,13792.37012,13356.05957,13754.53027,13754.37695,2044100.0,13754.37695,0.025192120146868335,0.025192120146868335,0.044489973580888416,0.6925366552744481,0.03172122503897039,0.023965551863119324,0.4497681933719636,61.0,213.0,20.0,3.4918032786885247,72.07492838852839,9.0,0.08196721311475409,1,0,1,0,-1,1
399001.SZ,2015-07-24,13789.30957,13970.83984,13424.17969,13518.51953,13518.36816,2219800.0,13518.36816,-0.017158813580429033,0.017158813580429033,0.04079908777642999,-0.3628499127645706,0.04043787108394995,-0.019637679364971995,0.8764990879217367,65.0,352.0,65.0,5.415384615384616,90.97042467607876,46.0,0.3076923076923077,1,0,1,0,-1,1
399001.SZ,2015-07-27,13242.69043,13579.63965,12488.37012,12493.04981,12492.91016,2023500.0,12492.91016,-0.07477158476717398,0.07585664096900879,0.04226279831582683,-1.7178200362486693,0.08735013040022448,-0.05660787918909316,0.3835501172034777,122.0,554.0,49.0,4.540983606557377,156.91469098698641,64.0,0.23770491803278687,1,0,1,0,-1,1
399001.SZ,2015-07-28,11986.25,12676.26953,11719.0,12316.78027,12316.6416,2137200.0,12316.6416,-0.014109487520720165,0.014109487520720165,0.039858723692432395,-0.18322380999877877,0.07772076054093636,0.02757578642194175,0.7685469239966294,48.0,284.0,49.0,5.916666666666667,69.53089629784077,17.0,0.16666666666666666,1,0,1,0,-1,1
399001.SZ,2015-07-29,12472.28027,12823.15039,12078.32031,12823.07031,12822.92676,1572900.0,12822.92676,0.04110578000418541,0.04110578000418541,0.039996146583433534,1.0866210276729156,0.058085159169653,0.02812557386509082,-0.8128982478536741,70.0,389.0,40.0,5.557142857142857,101.05543089149208,55.0,0.08571428571428572,1,0,1,0,-1,1
399001.SZ,2015-07-30,12766.33984,12988.55957,12382.29981,12395.91992,12395.78125,1593000.0,12395.78125,-0.03331107772778075,0.03331107772778075,0.038895502892517315,-0.8214866303330167,0.04890800875712651,-0.029015357936766333,-0.6894002126779415,49.0,267.0,46.0,5.448979591836735,67.06847093699459,19.0,0.1836734693877551,1,0,1,0,-1,1
